ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
801    HAN15    HE2159-0551                *       RG     22_2_16.36       -5_36_48.4       -92       13.3     *        10.513   9.847    4800   1.5    -2.8    2.1    2MASS_J22021636-0536483              -2.81    -2.4    
802    BAR05    HE2200-2030                *       SG     22_3_2.538       -20_15_58.47     89.7      15.7     15.643   14.581   14.256   5870   3.42   -2      1.64   2MASS_J22030253-2015584              -2.0     -1.78   
803    BAR05    HE2201-0637                *       RG     22_3_44.74       -6_22_41.69      114       16.461   15.734   14.012   13.467   4976   2.21   -2.61   1.69   2MASS_J22034474-0622416              -2.59    -2.42   
805    AND10    BS17569-049                *       RG     22_4_58.367      4_1_32.12        -203      14.25    13.36    11.503   10.853   4700   1.2    -2.88   1.9    2MASS_J22045836+0401321              -2.88    -2.24   
806    CAY04    BS17569-049                *       RG     22_4_58.367      4_1_32.12        -203      14.25    13.36    11.503   10.853   4700   1.2    -3      1.9    2MASS_J22045836+0401321              -2.85    -2.65   
809    BAR05    HE2204-1703                *       RG     22_7_11.908      -16_49_10.63     -11.7     15.704   14.994   13.313   12.777   4932   1.87   -2.79   1.84   2MASS_J22071190-1649106              -2.79    -2.44   
810    PRE01    CS22881-036                CR      SG     22_7_58.434      -40_44_16.44     50        14.42    13.95    12.968   12.688   6200   4      -2.1    2.2    2MASS_J22075843-4044164              -2.05    -1.67   
811    ROE14b   CS22881-036                CR      SG     22_7_58.434      -40_44_16.44     50        14.42    13.95    12.968   12.688   5940   3.7    -2.37   1.1    2MASS_J22075843-4044164              -2.34    -1.8    
812    BAR05    HE2206-2245                *       RG     22_9_9.429       -22_30_16.1      -210.5    16       15.534   14.11    13.605   5100   2.45   -2.73   1.7    2MASS_J22090942-2230161              -2.73    -2.43   
813    AOK07a   CS22960-053                NO      RG     22_16_17.08      -43_54_19.74     298       15.705   14.95    13.298   12.761   5200   2.1    -3.2    2.1    2MASS_J22161708-4354197              -3.19    -2.56   
814    ROE14b   CS22960-053                CR      RG     22_16_17.08      -43_54_19.74     298       15.705   14.95    13.298   12.761   4860   1.65   -3.33   1.6    2MASS_J22161708-4354197              -3.64    -2.87   
815    ROE14b   CS22960-048                *       RG     22_17_1.566      -45_12_16.95     -85       15.64    14.96    13.476   12.958   4770   1.4    -3.78   1.55   2MASS_J22170156-4512169              -3.91    -3.19   
817    AND10    CS22892-052                *       RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4850   1.6    -3.03   1.9    2MASS_J22170165-1639271              -3.03    -2.7    
818    BAR05    CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4884   1.81   -2.95   1.67   2MASS_J22170165-1639271              -2.95    -2.85   
819    CAY04    CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4850   1.6    -3      1.9    2MASS_J22170165-1639271              -3.04    -2.83   
820    HON04    CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4790   1.6    -2.92   1.8    2MASS_J22170165-1639271              -2.91    -2.67   
822    MCW95    CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4760   1.3    -3.1    2.29   2MASS_J22170165-1639271              -3.02    -2.75   
823    NOR97b   CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4850   1.5    -2.97   2.5    2MASS_J22170165-1639271              -2.97    -2.57   
826    ROE14b   CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4690   1.15   -3.16   1.5    2MASS_J22170165-1639271              -3.24    -2.83   
828    SNE03    CS22892-052                CR      RG     22_17_1.657      -16_39_27.15     13        13.99    13.2     11.492   10.929   4800   1.5    -2.5    1.95   2MASS_J22170165-1639271              -3.1     -2.82   
831    BAR05    HE2216-0621                *       RG     22_18_45.945     -6_6_50.17       52.5      15.407   14.456   12.478   11.81    4671   1.27   -3.23   2.02   2MASS_J22184594-0606501              -3.23    -3.03   
832    BAR05    HE2216-1548                *       RG     22_19_30.359     -15_33_36.25     -271      16.33    15.634   14.306   13.683   5154   1.73   -1.7    2.69   2MASS_J22193035-1533362              -1.7     -1.55   
833    BAR05    HE2217-0706                *       RG     22_20_17.992     -6_51_16.42      -93.3     15.7     14.958   12.855   12.146   4497   1.01   -2.56   2.13   2MASS_J22201799-0651164              -2.58    -2.26   
834    AOK05    CS22886-042                *       RG     22_20_25.812     -10_23_20.17     -224      14.106   13.275   11.511   10.94    4850   1.7    -2.5    1.9    2MASS_J22202581-1023201              -2.55    -2.11   
835    AOK07a   CS22886-042                *       RG     22_20_25.812     -10_23_20.17     -224      14.106   13.275   11.511   10.94    4800   1.6    -2.5    2.1    2MASS_J22202581-1023201              -2.66    -2.17   
836    BAR05    CS22886-042                *       RG     22_20_25.812     -10_23_20.17     -224      14.106   13.275   11.511   10.94    4881   1.85   -2.68   1.84   2MASS_J22202581-1023201              -2.68    -2.47   
838    BAR05    HE2217-1523                *       RG     22_20_33.728     -15_8_34.68      79.5      15.661   14.929   13.259   12.673   4847   1.82   -2.62   1.81   2MASS_J22203372-1508346              -2.62    -2.32   
840    AND10    CS29502-042                *       RG     22_21_48.822     2_28_44.89       -138.05   13.4     12.74    11.15    10.653   5100   2.5    -3.19   1.5    2MASS_J22214882+0228448              -3.19    -2.86   
841    AOK05    CS29516-041                *       RG     22_21_48.822     2_28_44.89       -138.05   13.4     12.74    11.15    10.653   5200   2.5    -3      1.7    2MASS_J22214882+0228448              -2.97    -2.49   
842    CAY04    CS29502-042                *       RG     22_21_48.822     2_28_44.89       -138.05   13.4     12.74    11.15    10.653   5100   2.5    -3      1.5    2MASS_J22214882+0228448              -3.19    -2.98   
845    BAR05    HE2219-0713                *       RG     22_22_15.776     -6_58_34.37      -111.8    14.9     14.212   12.367   11.81    4789   1.68   -2.91   1.64   2MASS_J22221577-0658343              -2.92    -2.69   
847    PRE06    CS22886-043                *       HB     22_22_33.786     -10_14_9.01      -61       15.18    14.72    13.564   13.178   6000   1.8    -2.4    3.2    2MASS_J22223378-1014090              -2.14    -1.85   
849    AOK02a   CS29502-092                NO      RG     22_22_35.995     -1_38_27.53      -65.2     12.64    11.87    10.177   9.601    5000   2.1    -2.76   1.8    2MASS_J22223599-0138275              -2.76    -2.41   
851    LAI08    CS29502-092                NO      RG     22_22_35.995     -1_38_27.53      -65.2     12.64    11.87    10.177   9.601    4890   1.72   -3.3    1.6    2MASS_J22223599-0138275              -3.17    -2.78   
852    ROE14a   CS29502-092                NO      RG     22_22_35.995     -1_38_27.53      -65.2     12.64    11.87    10.177   9.601    4820   1.5    -3.2    1.5    2MASS_J22223599-0138275              -3.3     -2.8    
853    ROE14b   CS29502-092                NO      RG     22_22_35.995     -1_38_27.53      -65.2     12.64    11.87    10.177   9.601    4820   1.5    -3.2    1.5    2MASS_J22223599-0138275              -3.3     -2.8    
854    RUC11    CS29502-092                *       RG     22_22_35.995     -1_38_27.53      -65.2     12.64    11.87    10.177   9.601    5123   2.2    -2.83   1.7    2MASS_J22223599-0138275              -2.83    -2.44   
855    ROE14a   CS22960-064                *       RG     22_24_0.14       -42_35_16.05     -74       14.4     13.94    12.517   12.026   5060   2.2    -2.77   1.4    2MASS_J22240014-4235160              -2.77    -2.33   
856    ROE14b   CS22960-064                *       RG     22_24_0.14       -42_35_16.05     -74       14.4     13.94    12.517   12.026   5060   2.2    -2.77   1.4    2MASS_J22240014-4235160              -2.77    -2.33   
857    AOK07a   HE2221-0453                NO      RG     22_24_25.631     -4_38_2.2        *         15.098   13.65    11.524   10.815   4400   0.4    -2.2    2      2MASS_J22242563-0438021              -2.27    -1.49   
858    BAR05    HE2221-4150                *       MS     22_24_47.298     -41_35_38.82     40.2      17.1     16.699   15.809   15.144   5887   4.06   -2.03   1.41   2MASS_J22244729-4135388              -2.03    -1.73   
859    BAR05    CS29491-109                *       RG     22_25_1.192      -32_14_41.31     160.1     14.02    13.21    11.496   10.863   4736   1.5    -2.9    1.82   2MASS_J22250119-3214413              -2.9     -2.62   
860    BAR05    HE2222-4156                *       RG     22_25_28.65      -41_40_57.63     -126      16.1     15.332   14.244   13.759   5537   3.27   -2.73   1.44   2MASS_J22252864-4140576              -2.73    -2.32   
862    AND10    CS29516-024                *       RG     22_26_15.36      2_51_46.29       -84.27    14.43    13.57    11.636   10.973   4650   1.2    -3.06   1.7    2MASS_J22261535+0251462              -3.06    -2.35   
863    CAY04    CS29516-024                *       RG     22_26_15.36      2_51_46.29       -84.27    14.43    13.57    11.636   10.973   4650   1.2    -3      1.7    2MASS_J22261535+0251462              -3.07    -2.6    
865    BAR05    HE2224+0143                *       RG     22_27_23.124     1_58_33          -112.3    14.54    13.83    12.193   11.613   5198   2.66   -2.58   1.67   2MASS_J22272312+0158329              -2.58    -2.28   
867    BAR05    HE2224-4103                *       RG     22_27_48.284     -40_48_24.87     -60.7     15.586   14.91    13.479   12.952   5074   2.32   -2.64   1.75   2MASS_J22274828-4048248              -2.6     -2.26   
869    RYA96    CS29491-084                *       SG     22_28_49.84      -28_57_1.59      *         13.86    13.48    12.524   12.201   6200   4      -2.74   1.2    2MASS_J22284983-2857015              -2.74    -2.62   
870    BAR05    HE2226-4102                *       RG     22_29_4.305      -40_46_52.39     96        15.5     14.626   13.235   12.727   5140   2.43   -2.87   1.73   2MASS_J22290430-4046523              -2.87    -2.65   
871    BAR05    HE2227-4044                NO      SG     22_30_19.082     -40_29_13.06     103.9     15.445   14.925   14.005   13.615   5811   3.85   -2.32   1.4    2MASS_J22301908-4029130              -2.32    -2.04   
872    BAR05    CS29491-069                *       RG     22_31_2.186      -32_38_36.51     -375.5    13.72    13.09    11.604   11.131   5103   2.45   -2.81   1.54   2MASS_J22310218-3238365              -2.81    -2.55   
873    HAY09    CS29491-069                *       RG     22_31_2.186      -32_38_36.51     -375.5    13.72    13.09    11.604   11.131   5300   2.8    -2.51   1.6    2MASS_J22310218-3238365              -2.6     -2.27   
876    BAR05    HE2228-3806                *       RG     22_31_2.573      -37_50_40.69     179       15.6     14.842   13.492   12.995   5175   2.62   -3.07   1.65   2MASS_J22310257-3750406              -3.07    -2.76   
877    AOK07a   HE2228-0706                NO      RG     22_31_24.47      -6_50_51.18      *         14.353   13.332   11.692   11.192   5100   2.6    -2.5    1.6    2MASS_J22312447-0650511              -2.46    -1.81   
878    BAR05    HE2229-4153                *       RG     22_32_49.05      -41_38_25.23     -139.6    13.9     13.322   11.937   11.456   5138   2.47   -2.62   1.79   2MASS_J22324904-4138252              -2.59    -2.31   
880    SIQ14    HE2229-4153                *       RG     22_32_49.05      -41_38_25.23     -139.6    13.9     13.322   11.937   11.456   5156   2.67   -2.62   1.63   2MASS_J22324904-4138252              -2.61    -2.05   
881    BAR05    HE2231-0622                *       RG     22_34_20.106     -6_6_30.64       -428.8    17.095   16.356   14.818   14.218   5211   2.9    -2.12   1.5    2MASS_J22342010-0606306              -2.12    -1.98   
882    COH06    HE2232-0603                NO      SG     22_34_47.429     -5_48_17.28      -61.2     16.861   16.51    15.295   15.22    5750   3.5    -1.85   1.6    2MASS_J22344742-0548172              -1.9     -1.06   
883    COH13    HE2232-0603                CR      SG     22_34_47.429     -5_48_17.28      -61.2     16.861   16.51    15.295   15.22    5550   3.5    -2.23   1.6    2MASS_J22344742-0548172              -2.23    -1.61   
884    BAR05    HE2234-0521                *       RG     22_36_37.715     -5_6_5.2         -177.8    15.6     15.383   13.864   13.42    5332   3.15   -2.78   1.39   2MASS_J22363771-0506052              -2.78    -2.47   
887    AND10    CS29491-053                *       RG     22_36_56.3       -28_31_6.49      -147.47   13.76    12.92    11.148   10.532   4700   1.3    -3.04   2      2MASS_J22365630-2831064              -3.04    -2.51   
888    CAY04    CS29491-053                *       RG     22_36_56.3       -28_31_6.49      -147.47   13.76    12.92    11.148   10.532   4700   1.3    -3      2      2MASS_J22365630-2831064              -3.03    -2.53   
891    BAR05    HE2238-2152                *       RG     22_41_10.309     -21_36_19.88     -22.2     16.4     15.824   14.569   14.069   5427   3.28   -2.4    1.46   2MASS_J22411030-2136198              -2.4     -2.23   
892    HAN15    HE2238-4131                CR      RG     22_41_22.67      -41_15_57.2      *         17.05    16.1     14.284   13.849   5200   2.5    -2.8    1      2MASS_J22412267-4115571              -2.75    -1.88   
893    HAN15    HE2239-5019                CR      SG     22_42_26.834     -50_4_0.94       *         16.239   15.846   14.682   14.279   6100   3.5    -4.2    1.8    2MASS_J22422683-5004009              -4.15    -3.7    
894    HAN14    HE2239-5019                NO      SG     22_42_26.834     -50_4_0.94       *         16.239   15.846   14.682   14.279   6100   3.5    -4.2    1.8    2MASS_J22422683-5004009              -4.15    -3.72   
895    BAR05    HE2240-0412                NO      MS     22_42_58.079     -3_56_34.05      -163.7    16.318   15.807   14.556   14.163   5852   4.33   -2.2    1.3    2MASS_J22425807-0356340              -2.2     -1.94   
896    BAR05    HE2242-1930                *       RG     22_45_17.201     -19_14_51.59     -22.5     16.129   15.452   14.042   13.533   5281   2.99   -2.21   1.81   2MASS_J22451720-1914515              -2.21    -2.01   
897    BAR05    HE2243-0151                *       SG     22_46_8.85       -1_35_54.64      -47.4     15.4     15.573   14.193   13.873   6113   3.88   -1.61   1.65   2MASS_J22460884-0135546              -1.61    -1.45   
898    BAR05    HE2244-1503                *       RG     22_47_25.831     -14_47_30.18     148.1     15.4     15.351   13.894   13.373   5122   2.57   -2.88   1.52   2MASS_J22472583-1447301              -2.87    -2.59   
899    BAR05    HE2247-3705                *       RG     22_50_29.511     -36_49_16.46     143.6     16.2     16.018   14.508   14.118   5366   3.04   -2.27   1.48   2MASS_J22502951-3649164              -2.26    -2.14   
901    BAR05    HE2248-3345                *       RG     22_51_44.787     -33_29_25.39     145.4     15.387   14.682   13.146   12.608   5011   2.11   -2.74   1.71   2MASS_J22514478-3329253              -2.73    -2.82   
902    BAR05    HE2250-2132                *       SG     22_53_40.474     -21_16_23.89     -207.6    14.905   14.392   13.155   12.816   5705   3.69   -2.22   1.43   2MASS_J22534047-2116238              -2.22    -1.92   
904    BAR05    HE2252-4225                *       RG     22_54_58.561     -42_9_19.33      -333.7    15.5     14.878   13.311   12.629   4708   1.53   -2.83   1.92   2MASS_J22545856-4209193              -2.82    -2.66   
906    BAR05    HE2252-4157                *       RG     22_55_34.22      -41_41_29.34     -94.5     16.961   16.283   14.967   14.344   5090   2.87   -1.93   1.55   2MASS_J22553421-4141293              -1.93    -1.69   
907    BAR05    HE2258-3456                *       RG     23_0_59.768      -34_40_41.75     -229      16.4     16.365   14.911   14.195   4988   1.55   -2.97   2      2MASS_J23005976-3440417              -2.97    -2.75   
908    BAR05    HE2259-3407                *       MS     23_2_15.749      -33_51_11.03     -13.6     17.264   16.864   15.977   15.642   6266   4.32   -2.29   1.37   2MASS_J23021574-3351110              -2.29    -2.08   
910    BAR05    HE2301-4126                *       SG     23_3_50.178      -41_10_26.23     252.2     16.2     15.989   14.864   14.485   5841   3.66   -2.37   1.53   2MASS_J23035017-4110262              -2.37    -2.17   
911    BAR05    HE2301-4024                *       SG     23_4_14.034      -40_8_20.14      -221.7    16.96    16.452   15.28    15.043   5743   3.76   -2.11   1.6    2MASS_J23041403-4008201              -2.1     -1.92   
912    ROE14b   CS22888-002                *       SG     23_4_37.23       -36_39_57.9      41        15.12    14.7     13.654   13.299   5700   3.5    -2.91   1.3    2MASS_J23043723-3639579              -2.93    -2.43   
913    BAR05    HE2304-4153                *       RG     23_7_5.699       -41_37_30        -33.9     17.154   16.33    14.615   13.898   4663   1.01   -3.02   2.12   2MASS_J23070569-4137300              -3.02    -2.94   
914    BAR05    HE2311+0129                *       RG     23_14_21.385     1_45_24.29       -149      14.8     14.389   12.774   12.289   5188   2.65   -2.78   1.54   2MASS_J23142138+0145242              -2.78    -2.48   
916    AOK07a   CS30338-089                NO      RG     23_15_49.975     10_19_26.25      *         15.107   14.144   12.558   12       5000   2.1    -2.5    1.7    2MASS_J23154997+1019262              -2.49    -2.04   
919    MAS12    CS22949-008b               CR      MS     23_16_58.736     -3_20_52.51      -149      14.61    14.15    13.123   12.788   5300   4.7    -2.14   1.5    2MASS_J23165873-0320525              -2.19    -1.6    
920    MAS12    CS22949-008a               CR      SG     23_16_58.736     -3_20_52.51      -149      14.61    14.15    13.123   12.788   6300   4      -2.14   1.5    2MASS_J23165873-0320525              -2.19    -1.6    
921    JAC15    2MASS_J23203653-3637223    *       RG     23_20_36.535     -36_37_22.32     *         *        *        16.445   16.783   5134   2      -2.63   2.15   2MASS_J23203653-3637223              -2.63    -2.21   
922    BAR05    HE2319-0852                *       RG     23_22_17.323     -8_36_16.88      -121.6    15.4     15.209   13.466   12.821   4724   1.36   -3.38   1.97   2MASS_J23221732-0836168              -3.38    -3.27   
924    MCW95    CS22949-048                *       RG     23_26_7.412      -5_50_6.75       -160.8    14.48    13.67    11.919   11.282   4750   1.1    -3.3    2.3    2MASS_J23260741-0550067              -3.15    -2.97   
925    ROE14b   CS22949-048                *       RG     23_26_7.412      -5_50_6.75       -160.8    14.48    13.67    11.919   11.282   4620   0.95   -3.37   1.7    2MASS_J23260741-0550067              -3.55    -3.15   
927    JAC15    2MASS_J23261426-3719492    *       RG     23_26_14.262     -37_19_49.30     *         *        *        14.758   14.286   5170   2.3    -2.55   1.85   2MASS_J23261426-3719492              -2.55    -2.14   
929    AND10    CS22949-037                *       RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4900   1.5    -3.97   1.8    2MASS_J23262980-0239579              -3.97    -2.53   
930    CAY04    CS22949-037                NO      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4900   1.5    -4      1.8    2MASS_J23262980-0239579              -3.99    -2.43   
931    COH08    HE2323-0256                NO      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4915   1.7    -2      *      2MASS_J23262980-0239579              -3.84    -2.38   
932    COH13    CS22949-037                CR      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4915   1.7    -3.93   1.9    2MASS_J23262980-0239579              -3.93    -2.56   
933    MCW95    CS22949-037                NO      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4810   2.1    -3.5    2.09   2MASS_J23262980-0239579              -3.97    -2.81   
934    NOR01    CS22949-037                NO      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4900   1.7    -3.79   2      2MASS_J23262980-0239579              -3.79    -2.59   
936    ROE14a   CS22949-037                CR      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4630   0.95   -4.21   1.7    2MASS_J23262980-0239579              -4.38    -2.82   
937    ROE14b   CS22949-037                CR      RG     23_26_29.808     -2_39_57.94      -125.4    15.12    14.36    12.65    12.075   4630   0.95   -4.2    1.7    2MASS_J23262980-0239579              -4.38    -2.82   
940    BAR05    HE2325-0755                *       SG     23_27_59.622     -7_39_13.42      -237      14.481   13.94    13.305   12.887   5665   3.17   -2.85   1.48   2MASS_J23275962-0739134              -2.85    -2.55   
941    IVA03    CS22941-012                *       MS     23_28_29.732     -32_48_46.4      -138      12.75    12.45    11.688   11.472   7200   4.6    -2.01   2.4    2MASS_J23282973-3248464              -2.02    -1.77   
942    PRE00    CS22941-012                *       MS     23_28_29.732     -32_48_46.4      -138      12.75    12.45    11.688   11.472   7200   4.2    -2.03   2.5    2MASS_J23282973-3248464              -2.01    -1.74   
943    BAR05    HE2326+0038                *       RG     23_28_56.96      0_54_36.23       -40.9     14.782   14.175   12.457   11.929   5145   2.51   -2.77   1.62   2MASS_J23285696+0054362              -2.78    -2.55   
945    BAR05    HE2327-5642                *       RG     23_30_37.075     -56_26_14.27     282.1     14.59    13.881   12.422   11.87    5048   2.22   -2.95   1.69   2MASS_J23303707-5626142              -2.93    -2.81   
948    BAR05    CS22945-028                *       RG     23_31_13.551     -66_29_57.8      378       15.32    14.64    13.142   12.641   5126   2.55   -2.66   1.53   2MASS_J23311355-6629578              -2.66    -2.36   
950    ROE14b   CS22945-028                *       RG     23_31_13.551     -66_29_57.8      378       15.32    14.64    13.142   12.641   4900   1.75   -2.89   1.5    2MASS_J23311355-6629578              -2.92    -2.45   
951    BAR05    HE2329-3702                *       SG     23_32_18.153     -36_45_58.05     71.7      16.238   15.828   14.877   14.445   6060   3.72   -2.16   1.65   2MASS_J23321815-3645580              -2.15    -1.86   
952    ROE14b   CS22941-017                *       RG     23_32_50.18      -33_59_25.5      114       15.56    15       13.579   13.104   5070   2.2    -3.08   1.45   2MASS_J23325017-3359254              -3.11    -2.59   
953    AOK07a   HE2330-0555                NO      RG     23_32_54.792     -5_38_50.57      *         15.412   14.559   12.85    12.3     4900   1.7    -2.8    1.8    2MASS_J23325479-0538505              -2.82    -2.18   
954    BAR05    CS30315-029                *       RG     23_34_26.692     -26_42_14.09     -169.2    14.56    13.64    11.78    11.124   4541   1.07   -3.33   2.06   2MASS_J23342669-2642140              -3.33    -2.93   
955    SIQ14    CS30315-029                *       RG     23_34_26.692     -26_42_14.09     -169.2    14.56    13.64    11.78    11.124   4570   0.99   -3.4    2.22   2MASS_J23342669-2642140              -3.43    -2.85   
957    AND10    CS22966-011                *       MS     23_35_7.05       -30_22_54.35     *         14.97    14.55    13.543   13.279   6200   4.8    -3.07   1.1    2MASS_J23350705-3022543              -3.07    -2.88   
958    BON09    CS22966-011                *       MS     23_35_7.05       -30_22_54.35     *         14.97    14.55    13.543   13.279   6204   4.75   -3.07   1.1    2MASS_J23350705-3022543              -3.07    -2.88   
960    BAR05    HE2333-1358                *       RG     23_35_48.525     -13_41_30.68     96.7      15.6     15.411   13.838   13.309   5020   2.15   -3.34   1.57   2MASS_J23354852-1341306              -3.34    -2.9    
961    ROE14b   CS22945-024                CR      RG     23_36_42.49      -65_35_43.7      143       15.08    14.36    12.91    12.434   5120   2.35   -2.59   1.15   2MASS_J23364248-6535437              -2.58    -2.12   
963    AND10    CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4800   1.3    -3.43   2.1    2MASS_J23372869-0547566              -3.43    -3.4    
964    BAR05    HE2334-0604                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4820   1.51   -3.41   2.15   2MASS_J23372869-0547566              -3.41    -3.37   
965    CAY04    CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4800   1.3    -3.4    2.1    2MASS_J23372869-0547566              -3.45    -3.45   
966    HON04    CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4850   1.5    -2.94   1.5    2MASS_J23372869-0547566              -2.93    -3.15   
967    MCW95    CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4720   0.9    -3.4    2.55   2MASS_J23372869-0547566              -3.36    -3.58   
968    ROE14b   CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4500   0.55   -3.68   1.75   2MASS_J23372869-0547566              -3.87    -3.57   
969    RYA96    CS22952-015*               *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4850   1.4    -3.26   2.5    2MASS_J23372869-0547566              -3.26    -3.04   
970    RYA96    CS22952-015                *       RG     23_37_28.694     -5_47_56.63      -7        14.03    13.28    11.52    10.916   4850   1.6    -3.31   2.5    2MASS_J23372869-0547566              -3.31    -2.95   
972    BAR05    CS30315-001                *       RG     23_37_38.828     -26_21_53.28     110.3     14.65    13.76    11.902   11.255   4565   1.14   -2.98   1.99   2MASS_J23373882-2621532              -2.97    -2.61   
973    BAR05    HE2335-5958B               *       SG     23_38_19.29      -59_42_5.2       210.7     16.9     *        15.852   15.442   5765   3.24   -2.33   1.63   2MASS_J23381929-5942051              -2.32    -2.13   
974    BAR05    HE2338-1618                *       RG     23_40_36.393     -16_1_26.75      -219.4    15.862   15.358   13.888   13.464   5515   3.38   -2.65   1.43   2MASS_J23403639-1601267              -2.64    -2.5    
976    BAR05    HE2338-1311                *       SG     23_41_8.353      -12_55_9.83      -84       16.219   15.622   14.425   13.944   5582   3.5    -2.86   1.27   2MASS_J23410835-1255098              -2.86    -2.5    
977    PRE00    CS22894-029                *       MS     23_42_14.617     0_51_32.71       11        14.66    14.37    13.714   13.48    7350   4.2    -1.47   3      2MASS_J23421461-0051327              -1.45    -0.98   
978    PRE00    CS22966-037                *       MS     23_43_38.601     -31_48_18.4      53        14.28    14.02    13.434   13.28    7400   4.5    -1.34   3      2MASS_J23433860-3148183              -1.32    -0.51   
979    LAI09    J234723                    *       RG     23_47_23.65      1_8_33.6         -231      17.3     *        15.038   14.352   4600   1.5    -3.2    1.94   2MASS_J23472364+0108335              -3.17    -3.29   
980    BAR05    HE2345-1919                *       MS     23_47_55.516     -19_2_37.52      119.4     15.854   15.092   13.817   13.377   5617   4.46   -2.46   1.47   2MASS_J23475551-1902375              -2.46    -2.15   
983    AND10    CS22966-057                *       RG     23_48_57.761     -29_39_22.85     101.22    14.3     14.32    12.992   12.532   5300   2.2    -2.62   1.4    2MASS_J23485776-2939228              -2.62    -2.21   
984    CAY04    CS22966-057                *       RG     23_48_57.761     -29_39_22.85     101.22    14.3     14.32    12.992   12.532   5300   2.2    -2.6    1.4    2MASS_J23485776-2939228              -2.61    -2.52   
987    PRE00    CS22966-0054               *       MS     23_49_51.583     -29_8_21.45      *         14.71    14.43    13.728   13.65    7250   4.2    -1.18   2.5    2MASS_J23495158-2908214              -1.16    -1.07   
988    BAR05    HE2347-1448                *       SG     23_49_58.348     -14_32_15.54     -165.1    15.692   15.226   14.161   13.911   6162   3.98   -2.31   0.84   2MASS_J23495834-1432155              -2.31    -2.2    
989    BAR05    HE2347-1254                *       SG     23_50_10.004     -12_37_50.29     -43.5     13.839   13.358   12.318   12.008   6132   3.95   -1.83   1.67   2MASS_J23501000-1237502              -1.83    -1.56   
990    BAR05    HE2347-1334                *       RG     23_50_26.823     -13_17_39.12     -54.8     13.716   12.636   10.624   9.912    4453   0.95   -2.55   2.38   2MASS_J23502682-1317391              -2.56    -2.29   
992    MAS12    CS29517-025                *       RG     23_54_28.838     -13_59_56.7      -186      14.7     14.15    12.915   12.505   5300   1.2    -2.57   2      2MASS_J23542883-1359567              -2.62    -2.15   
993    PRE00    CS22876-008                *       MS     23_55_21.367     -34_48_1.3       *         14.24    13.95    13.259   13.12    7200   4.5    -1.88   2.5    2MASS_J23552136-3448013              -1.86    -1.25   
994    BAR05    CS22957-013                *       RG     23_55_49.055     -5_22_52.9       -217      14.81    14.08    12.406   11.863   4904   1.96   -2.64   1.79   2MASS_J23554905-0522528              -2.64    -2.49   
995    ROE14b   CS22957-013                *       RG     23_55_49.055     -5_22_52.9       -217      14.81    14.08    12.406   11.863   4620   0.95   -3.01   1.55   2MASS_J23554905-0522528              -2.98    -2.51   
996    PRE00    CS29517-021                *       MS     23_58_9.09       -14_51_47.3      -81       13.918   13.6     12.787   12.537   7000   4.2    -0.99   2.5    2MASS_J23580909-1451472              -0.97    -0.84   
997    AOK02c   CS22957-027                NO      RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   5100   1.9    -3.11   1.4    2MASS_J23591314-0353482              -3.12    -2.45   
998    COH06    HE2356-0410                CR      RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   5205   2.5    -3.07   1.8    2MASS_J23591314-0353482              -3.12    -2.77   
