ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
36     ROE14b   CS22957-022                *       RG     0_1_45.5         -5_49_46.6       -31.6     13.95    13.34    11.809   11.313   4860   1.65   -3.17   1.55   2MASS_J00014549-0549465              -3.28    -2.82   
37     ROE10    CS22876-040                CR      SG     0_4_52.45        -34_13_37.3      -191      15.49    15.09    14.209   13.849   6280   3.7    -2.3    1.6    2MASS_J00045244-3413372              -2.34    -2.07   
38     ROE14b   CS22876-040                *       SG     0_4_52.45        -34_13_37.3      -191      15.49    15.09    14.209   13.849   6090   3.8    -2.21   1.45   2MASS_J00045244-3413372              -2.47    -2.15   
39     AOK07a   CS29503-010                NO      MS     0_4_55.38        -24_24_19.31     -24       14.209   13.737   12.726   12.433   6500   4.5    -1.2    1.9    2MASS_J00045537-2424193              -1.11    -0.77   
40     LI15a    LAMOSTJ0006+1057           *       RG     0_6_17.203       10_57_41.94      *         *        *        11.004   10.351   4520   0.6    -3.26   2.2    2MASS_J00061720+1057419              -3.26    -2.59   
41     BAR05    HE0005-0002                *       RG     0_8_6.772        0_14_8.93        -65.4     15.374   14.552   12.907   12.292   4726   1.58   -3.09   1.82   2MASS_J00080677+0014089              -3.06    -2.67   
43     BAR05    CS31060-047                *       RG     0_8_7.806        -15_54_3.84      106.1     14.62    13.8     12.052   11.44    4749   1.55   -2.72   2      2MASS_J00080780-1554038              -2.72    -2.49   
44     ALL12    CS31070-073                CR      SG     0_8_51.825       5_26_17.15       *         15.007   14.398   13.535   13.203   6190   3.86   -2.55   1.5    2MASS_J00085182+0526171              -2.55    -2.02   
45     COH04    HE0007-1832                CR      SG     0_9_52.78        -18_16_12.5      26.4      16.3     15.46    14.51    14.242   6515   3.8    -3      1.7    2MASS_J00095277-1816124              -2.7     -1.95   
46     COH13    HE0007-1832                CR      SG     0_9_52.78        -18_16_12.5      26.4      16.3     15.46    14.51    14.242   6500   3.8    -2.79   1.7    2MASS_J00095277-1816124              -2.79    -2.24   
47     BAR05    HE0008-3842                *       RG     0_10_56.04       -38_26_10.04     128.9     14.531   13.372   11.348   10.605   4327   0.65   -3.35   2.39   2MASS_J00105603-3826100              -3.33    -3.02   
48     HAN15    HE0010-3422                CR      RG     0_13_9.011       -34_5_54.9       *         15.577   15.482   12.818   12.336   5400   3.1    -2.7    2.4    2MASS_J00130901-3405548              -2.78    -2.44   
50     COH06    HE0012-1441                NO      SG     0_15_27.06       -14_24_37.7      11.2      *        16.4     15.263   14.642   5730   3.5    -2.52   1.6    2MASS_J00152706-1424376              -2.57    -1.67   
51     COH13    HE0012-1441                NO      SG     0_15_27.06       -14_24_37.7      11.2      *        16.4     15.263   14.642   5750   3.5    -2.52   1.6    2MASS_J00152706-1424376              -2.52    -1.69   
52     HOL11    HE0013-0257                *       RG     0_16_4.23        -2_41_5.3        45.4      13.7     *        10.981   10.421   4500   0.5    -3.82   2.1    2MASS_J00160423-0241052              -3.82    -3.14   
